original_id,num_rois
10000,3
10004,3
10006,3
10007,3
10009,3
10010,1
10011,4
10012,3
10014,3
10015,3
10016,3
10017,4
10019,3
10020,5
10021,3
10022,2
10023,3
10024,2
10025,3
10026,1
10029,3
10031,4
10033,1
10035,1
10037,3
10039,2
10040,3
10041,2
10042,3
10044,5
10045,2
10046,3
10048,5
10049,1
10051,3
10054,3
10055,1
10056,3
10057,4
10058,4
10061,3
10064,6
10067,1
10070,3
10073,4
10074,1
10075,3
10076,3
10077,1
10078,1
10080,1
10081,3
10083,3
10087,4
10088,3
10091,6
10093,1
10094,3
10095,3
10096,1
10097,3
10102,3
10103,3
10104,4
10105,2
10107,1
10108,2
10109,4
10110,3
10111,2
10112,3
10113,6
10114,3
10115,3
10116,1
10117,5
10118,1
10120,3
10123,3
10125,2
10128,3
10130,3
10134,3
10136,4
10137,3
10138,3
10139,3
10140,3
10141,1
10144,3
10145,2
10146,4
10148,4
10149,3
10150,1
10151,3
10152,3
10155,3
10156,3
10157,3
10158,3
10159,4
10160,3
10161,3
10163,3
10164,3
10165,2
10166,4
10169,4
10170,3
10171,3
10174,2
10176,3
10177,1
10180,3
10181,3
10182,3
10183,3
10184,3
10185,3
10187,3
10188,3
10190,4
10192,4
10195,3
10196,2
10197,3
10199,3
10200,2
10201,3
10202,1
10204,4
10207,1
10208,3
10209,3
10210,4
10211,3
10212,3
10216,3
10222,2
10223,3
10224,1
10226,1
10227,2
10228,2
10229,4
10230,4
10231,2
10232,2
10233,5
10234,2
10235,3
10236,3
10238,2
10239,3
10244,2
10246,4
10248,3
10249,4
10250,2
10251,3
10253,3
10254,3
10257,3
10258,3
10259,2
10261,2
10262,2
10264,2
10265,3
10266,3
10267,3
10270,2
10271,1
10272,3
10273,3
10275,3
10276,2
10279,3
10280,2
10281,3
10282,3
10284,1
10285,3
10286,3
10288,4
10290,1
10291,3
10292,2
10294,2
10296,3
10298,2
10302,2
10306,4
10309,3
10310,2
10311,3
10312,2
10315,2
10318,3
10319,1
10320,3
10321,4
10322,3
10323,3
10324,2
10326,2
10327,4
10328,2
10329,3
10330,3
10331,3
10332,1
10333,2
10334,3
10335,4
10337,4
10339,2
10340,4
10341,1
10342,3
10343,2
10345,4
10347,1
10348,3
10351,3
10352,2
10356,3
10358,3
10361,4
10362,1
10363,2
10364,3
10367,3
10368,1
10369,5
10370,3
10371,1
10373,3
10374,4
10376,4
10378,4
10379,3
10382,3
10384,3
10386,3
10387,3
10390,1
10391,2
10392,2
10393,2
10394,3
10395,2
10396,3
10397,4
10398,2
10399,1
10400,3
10402,3
10403,3
10406,3
10408,2
10410,4
10411,2
10412,3
10413,3
10419,3
10420,3
10421,3
10422,3
10423,3
10425,1
10426,3
10427,2
10429,3
10430,4
10431,2
10433,2
10435,4
10436,3
10437,3
10438,2
10440,1
10441,4
10442,4
10447,3
10450,1
10451,4
10452,3
10453,3
10454,3
10455,4
10457,3
10458,3
10459,4
10460,1
10462,4
10463,3
10464,4
10465,3
10469,4
10470,4
10471,4
10472,3
10475,2
10476,2
10478,3
10479,3
10481,3
10482,3
10483,3
10484,3
10485,1
10486,3
10487,1
10488,3
10489,3
10490,2
10492,4
10493,3
10495,3
10496,3
10499,3
10500,3
10501,3
10503,4
10504,3
10506,3
10508,3
10509,3
10513,3
10514,4
10517,3
10520,1
10521,3
10522,3
10524,3
10526,3
10527,2
10528,4
10529,2
10530,3
10532,3
10533,3
10535,2
10536,2
10537,2
10538,3
10539,3
10542,1
10545,4
10547,3
10548,3
10550,3
10551,2
10552,2
10556,4
10558,2
10559,3
10561,3
10562,1
10563,3
10564,1
10567,3
10568,3
10570,3
10571,3
10572,2
10573,1
10575,2
10576,2
10578,1
10579,3
10580,3
10583,2
10585,3
10586,3
10588,1
10591,1
10595,2
10597,4
10598,3
10599,1
10602,3
10603,4
10604,2
10605,4
10606,2
10607,2
10608,3
10609,3
10610,3
10612,1
10613,3
10614,4
10615,1
10619,2
10623,3
10624,3
10626,3
10628,2
10629,3
10631,3
10635,3
10637,4
10638,3
10639,3
10641,2
10642,3
10643,1
10644,2
10645,1
10646,1
10648,4
10654,1
10655,2
10657,3
10658,3
10659,2
10660,4
10662,4
10663,3
10664,3
10665,4
10666,1
10668,3
10670,3
10671,3
10673,4
10674,4
10675,4
10676,3
10679,2
10681,3
10682,4
10683,4
10684,4
10687,4
10688,2
10690,3
10691,4
10692,4
10694,4
10698,3
10701,2
10702,1
10704,3
10705,3
10706,3
10709,4
10710,3
10713,1
10714,3
10716,3
10717,3
10718,4
10719,2
10721,3
10722,4
10726,2
10727,3
10728,2
10729,3
10731,4
10732,3
10733,4
10734,4
10735,3
10738,3
10739,2
10740,4
10741,3
10742,4
10743,3
10745,2
10747,3
10748,4
10750,5
10751,3
10753,3
10754,2
10755,2
10758,1
10759,3
10760,2
10762,3
10763,4
10764,5
10765,2
10766,3
10769,2
10771,4
10773,3
10774,3
10775,3
10776,3
10777,3
10779,4
10780,4
10781,3
10782,2
10783,1
10784,4
10785,4
10786,1
10791,4
10793,3
10794,3
10796,3
10797,3
10798,1
10799,3
10800,4
10803,5
10806,3
10807,2
10810,4
10812,3
10813,3
10814,1
10816,3
10818,3
10821,3
10823,2
10824,2
10827,3
10828,3
10830,3
10834,3
10836,3
10837,3
10838,3
10839,1
10843,4
10845,3
10846,3
10847,3
10848,1
10850,3
10854,4
10855,3
10856,4
10858,4
10859,3
10862,3
10863,3
10864,3
10867,2
10869,4
10870,3
10871,2
10872,5
10874,3
10876,4
10877,3
10878,3
10879,3
10880,3
10881,4
10883,3
10884,3
10886,3
10887,3
10888,3
