number,value,datetime_start,datetime_complete,duration,params_augmentation_preset,params_backbone_lr,params_drop_path,params_head_dropout,params_head_lr_multiplier,params_hidden_dim,params_image_size,params_smooth_l1_beta,params_weight_decay,system_attrs_fixed_params,state
0,7.911240577697754,2026-05-08 22:32:54.451412,2026-05-08 23:45:43.807863,0 days 01:12:49.356451,medium,1e-05,0.1,0.1,5,1024,1024,5.0,1e-05,"{'image_size': 1024, 'backbone_lr': 1e-05, 'head_lr_multiplier': 5, 'weight_decay': 1e-05, 'drop_path': 0.1, 'head_dropout': 0.1, 'hidden_dim': 1024, 'smooth_l1_beta': 5.0, 'augmentation_preset': 'medium'}",COMPLETE
1,8.21403694152832,2026-05-08 23:45:44.337196,2026-05-09 00:57:01.914119,0 days 01:11:17.576923,none,1.4518497439122727e-05,0.15,0.3,3,512,1024,1.0,5.39948440978744e-05,,COMPLETE
2,10.795927047729492,2026-05-09 00:57:02.092815,2026-05-09 01:42:50.004337,0 days 00:45:47.911522,light,3.1738173285430034e-06,0.05,0.1,8,2048,1024,3.0,4.066563313514799e-06,,COMPLETE
3,11.211793899536133,2026-05-09 01:42:50.175521,2026-05-09 02:31:29.040014,0 days 00:48:38.864493,current,5.729938473542888e-06,0.15,0.2,5,1024,1024,5.0,1.2172847081122448e-05,,COMPLETE
4,8.113090515136719,2026-05-09 02:31:29.209663,2026-05-09 03:43:06.068157,0 days 01:11:36.858494,none,7.184521380536976e-06,0.05,0.1,8,512,1024,1.0,3.482846706526883e-05,,COMPLETE
5,6.803684234619141,2026-05-09 03:43:06.242083,2026-05-09 04:04:01.476384,0 days 00:20:55.234301,light,2.242646547614235e-05,0.15,0.0,8,1024,512,7.0,1.6599837974449216e-06,,COMPLETE
6,11.277066230773926,2026-05-09 04:04:01.641171,2026-05-09 04:21:15.267272,0 days 00:17:13.626101,none,7.802367478330816e-06,0.05,0.1,8,512,1024,1.0,1.9489008462344274e-06,,PRUNED
7,9.1631441116333,2026-05-09 04:22:35.619189,2026-05-09 04:30:30.813845,0 days 00:07:55.194656,none,1.2990798006639795e-05,0.0,0.0,5,1024,512,7.0,1.6863473810115072e-06,,PRUNED
8,49.31769561767578,2026-05-09 04:31:51.197204,2026-05-09 04:35:51.361152,0 days 00:04:00.163948,none,2.050437649733425e-06,0.15,0.3,5,512,512,7.0,1.251605833757037e-05,,PRUNED
9,48.05307388305664,2026-05-09 04:37:11.615174,2026-05-09 04:41:14.175756,0 days 00:04:02.560582,none,3.3935446443942735e-06,0.05,0.2,3,512,512,10.0,2.2605876925380275e-06,,PRUNED
10,6.751121520996094,2026-05-09 04:42:34.441987,2026-05-09 05:00:56.561668,0 days 00:18:22.119681,light,2.4992161621698068e-05,0.2,0.0,10,2048,512,7.0,1.0862348973937144e-06,,COMPLETE
11,6.536575794219971,2026-05-09 05:00:56.728052,2026-05-09 05:16:15.026864,0 days 00:15:18.298812,light,2.959654930417058e-05,0.2,0.0,10,2048,512,7.0,1.115814920039462e-06,,COMPLETE
12,10.064155578613281,2026-05-09 05:16:15.192908,2026-05-09 05:22:39.608957,0 days 00:06:24.416049,light,2.7861417625918304e-05,0.2,0.0,10,2048,512,7.0,1.0602135088614773e-06,,PRUNED
13,6.8090033531188965,2026-05-09 05:23:59.907774,2026-05-09 05:42:19.634764,0 days 00:18:19.726990,light,1.9823244282858407e-05,0.2,0.0,10,2048,512,7.0,4.544310607465077e-06,,COMPLETE
14,6.928690433502197,2026-05-09 05:42:19.816993,2026-05-09 05:54:17.938996,0 days 00:11:58.122003,light,2.731212654995384e-05,0.2,0.0,10,2048,512,3.0,1.0144859212373652e-06,,COMPLETE
15,9.27330493927002,2026-05-09 05:54:18.103019,2026-05-09 05:59:51.698585,0 days 00:05:33.595566,medium,1.683356730627518e-05,0.2,0.0,10,2048,512,10.0,3.939365734870945e-06,,PRUNED
16,10.511122703552246,2026-05-09 06:01:11.957223,2026-05-09 06:05:13.293867,0 days 00:04:01.336644,current,1.1300645966295433e-05,0.2,0.0,10,2048,512,7.0,7.429118755525657e-06,,PRUNED
17,6.4879255294799805,2026-05-09 06:06:33.572358,2026-05-09 06:23:18.149920,0 days 00:16:44.577562,light,2.890293271326065e-05,0.1,0.0,10,2048,512,7.0,2.3686574806450328e-05,,COMPLETE
18,8.59221076965332,2026-05-09 06:23:18.327707,2026-05-09 06:28:57.440380,0 days 00:05:39.112673,light,1.8593064678160356e-05,0.1,0.3,10,2048,512,7.0,2.2678651326168555e-05,,PRUNED
